,Store,score,comment,address,phone_num,keyword_food,keyword_loc
395,나리의집,3.1,83,서울 용산구 이태원로 245,02-793-4860,삼겹살,서울 명동
396,일공오삼겹살,4.2,15,서울 용산구 백범로87길 52 1층,02-3273-0105,삼겹살,서울 명동
397,돼지래스토랑 둘째,3.4,35,서울 용산구 보광로59길 14-1,070-8118-7370,삼겹살,서울 명동
398,하남돼지집 대학로점,2.1,21,서울 종로구 대학로8가길 52 1층,02-741-9233,삼겹살,서울 명동
399,완백부대찌개 삼겹살 종각점,2.6,19,"서울 종로구 종로 33 그랑서울 1층 111, 117, 118호",02-2158-7953,삼겹살,서울 명동
400,석기정돌솥부대찌개삼겹살 서울역점,2.2,11,서울 용산구 청파로89길 4-12 1층,,삼겹살,서울 명동
401,오는정,2.6,28,서울 중구 을지로3길 29,02-756-1658,삼겹살,서울 명동
402,육통령 명동본점,2.9,41,서울 중구 명동8나길 37-2,02-778-8592,삼겹살,서울 명동
403,한라담 무교점,2.4,21,서울 중구 무교로 21 더익스체인지서울 2층,02-318-4400,삼겹살,서울 명동
404,무한리필 몽블리 명동점,4.0,16,서울 중구 명동8나길 9 3층,,삼겹살,서울 명동
405,대원집,3.2,18,서울 중구 을지로3길 30-4,02-777-2038,삼겹살,서울 명동
406,대지식당,3.2,22,서울 중구 수표로 72-13 4층,02-2265-0871,삼겹살,서울 명동
407,왕비집 명동2호점,3.5,11,서울 중구 명동9길 13 2층,02-3789-1946,삼겹살,서울 명동
408,화포식당 명동점,3.3,14,서울 중구 명동7길 21 1층,02-318-3282,삼겹살,서울 명동
409,라무진 을지로입구점,1.9,16,서울 중구 남대문로9길 10 2층,02-752-9919,삼겹살,서울 명동
410,왕비집 육호점,5.0,21,서울 중구 남대문로 64 2층,,삼겹살,서울 명동
411,조박사등갈비,4.0,11,서울 중구 퇴계로16길 8,02-755-8083,삼겹살,서울 명동
412,돈돼지 명동점,1.4,11,서울 중구 명동9길 33 1층,02-776-3301,삼겹살,서울 명동
413,그냥밥집,4.2,11,서울 중구 퇴계로12길 53,02-778-7973,삼겹살,서울 명동
414,팔레드신,3.4,41,서울 중구 퇴계로 67 레스케이프호텔 6층,02-317-4001,삼겹살,서울 명동
415,해든,4.1,25,서울 중구 퇴계로27길 45 1층,,삼겹살,서울 명동
416,수월가,4.6,34,"서울 중구 마른내로2길 22 1, 2층",02-2268-1972,삼겹살,서울 명동
417,을지육점,3.8,46,서울 중구 을지로12길 18-1 1층,02-2269-3398,삼겹살,서울 명동
418,화포식당 시청점,4.4,56,서울 중구 남대문로1길 16 1층,02-318-2382,삼겹살,서울 명동
419,부산갈매기,4.4,18,서울 중구 남대문로 25-20,02-773-8146,삼겹살,서울 명동
420,을지로회관,4.0,12,서울 중구 수표로 30-1 1층,010-9353-4811,삼겹살,서울 명동
421,안동장,3.2,141,서울 중구 을지로 124,02-2266-3814,삼겹살,서울 명동
422,한국관,2.2,42,서울 중구 을지로 110-1,02-2275-8253,삼겹살,서울 명동
423,신의주부대찌개 시청점,2.0,15,서울 중구 세종대로18길 24,02-3789-1640,삼겹살,서울 명동
424,박씨화로숯불구이,4.8,28,서울 중구 남대문로1길 26-13 1층,02-756-8997,삼겹살,서울 명동
425,골든포크,4.2,13,서울 중구 수표로 46-1 2층,02-2277-0815,삼겹살,서울 명동
426,한국관,1.5,126,서울 중구 남대문로1길 51,02-771-8280,삼겹살,서울 명동
427,금성회관 서울시청직영점,3.3,13,서울 중구 남대문로1길 30,02-3789-9097,삼겹살,서울 명동
428,도누각,4.6,15,서울 중구 남대문로1길 18 1층,02-318-3628,삼겹살,서울 명동
429,진주회관,3.2,394,서울 중구 세종대로11길 26,02-753-5388,삼겹살,서울 명동
430,호남식당,2.2,34,서울 중구 퇴계로41길 9,02-2273-1348,삼겹살,서울 명동
431,왕비집 종로점,4.2,19,서울 종로구 삼일대로15길 24 2층,02-720-3066,삼겹살,서울 명동
432,신도세기 종로점,2.8,23,서울 종로구 삼일대로17길 51 스타골드빌딩 1층,02-739-8114,삼겹살,서울 명동
433,남대문생숯불갈비,2.2,11,서울 중구 남대문시장2길 13 1층,02-757-9242,삼겹살,서울 명동
434,삼수갑산,3.2,18,서울 중구 세종대로4길 25 1층 101호,02-771-7187,삼겹살,서울 명동
435,신촌황소곱창 종로점,2.9,35,서울 종로구 삼일대로17길 17,02-735-6698,삼겹살,서울 명동
436,종로불돼지,3.5,22,서울 종로구 청계천로 67 종로1번가빌딩,02-734-1190,삼겹살,서울 명동
437,도틔대가,4.1,13,서울 중구 세종대로 72-1,02-6952-8450,삼겹살,서울 명동
438,숙달돼지 종각점,2.3,18,서울 종로구 종로8길 15 1층,02-737-5201,삼겹살,서울 명동
439,제주연탄집,4.7,13,서울 중구 충무로2길 30-1,02-2266-0828,삼겹살,서울 명동
440,술패도니,3.1,14,"서울 종로구 종로10길 13 2, 3층",,삼겹살,서울 명동
441,풍문고기집,2.8,32,서울 중구 세종대로2길 6-1,0507-1407-6252,삼겹살,서울 명동
442,옛날농장,4.2,58,서울 중구 퇴계로 222-1,,삼겹살,서울 명동
443,시민식당,3.3,23,서울 종로구 돈화문로5길 30,02-744-8292,삼겹살,서울 명동
444,고기꾼김춘배 종로점,3.8,18,서울 종로구 삼일대로17길 17 5층,070-7799-1223,삼겹살,서울 명동
445,문경식당,4.4,27,서울 중구 을지로18길 11,02-2279-0610,삼겹살,서울 명동
446,화통본가,3.4,12,서울 종로구 수표로20길 33,02-2269-8877,삼겹살,서울 명동
447,고메식당,2.9,17,서울 종로구 종로10길 14 2층,,삼겹살,서울 명동
448,종로정육식당,4.0,21,서울 종로구 종로14길 20,,삼겹살,서울 명동
449,청송옥,3.1,26,서울 중구 서소문로11길 14 1층,02-754-1547,삼겹살,서울 명동
450,맛찬들왕소금구이 종로점,3.4,12,서울 종로구 삼일대로17길 35 1~4층,02-732-3236,삼겹살,서울 명동
451,곰비임비,4.4,11,서울 중구 세종대로11길 45 1층,02-752-5860,삼겹살,서울 명동
452,철로만든돼지 종로본점,4.2,13,서울 종로구 삼일대로15길 16 1층,02-730-3579,삼겹살,서울 명동
453,수정식당,4.2,52,"서울 종로구 삼일대로20길 15 1,2층",02-2279-4319,삼겹살,서울 명동
454,대원식당,4.3,31,서울 중구 창경궁로5길 34-26,02-2275-5512,삼겹살,서울 명동
455,효자동목고기 종로점,4.4,17,서울 종로구 종로16길 24 1층,02-737-7989,삼겹살,서울 명동
456,황토골,3.1,17,서울 중구 서애로 6-1,02-2263-1384,삼겹살,서울 명동
457,부여식품,4.9,14,서울 중구 을지로20길 32-5,02-2273-7790,삼겹살,서울 명동
458,우림정,4.3,11,서울 중구 세종대로11길 33-3,02-752-5939,삼겹살,서울 명동
459,덕수정,3.6,56,서울 중구 정동길 41,02-755-0180,삼겹살,서울 명동
460,소담집,3.1,12,서울 중구 서애로 16-6,02-2266-8450,삼겹살,서울 명동
461,종각한우,3.8,11,서울 종로구 종로9길 8 1층,02-733-5613,삼겹살,서울 명동
462,통일집,2.1,25,서울 중구 충무로 68-12,02-2273-0824,삼겹살,서울 명동
463,쇠고집,4.7,31,서울 종로구 인사동3길 5-2,010-4040-4940,삼겹살,서울 명동
464,안동네,3.8,12,서울 종로구 종로12길 22,,삼겹살,서울 명동
465,반갑다하대포,1.8,23,서울 종로구 종로9길 8,02-723-6699,삼겹살,서울 명동
466,제주아방,2.6,18,서울 중구 을지로18길 15 1층,02-745-4728,삼겹살,서울 명동
467,종로고기집 종로본점,3.3,52,서울 종로구 삼일대로19길 19,02-725-3244,삼겹살,서울 명동
468,죽마고돈,4.8,68,서울 종로구 삼일대로17길 42-4,02-737-9992,삼겹살,서울 명동
469,선비옥,2.9,16,서울 종로구 종로17길 32,,삼겹살,서울 명동
470,배터져숯불갈비,1.6,37,서울 종로구 수표로 114,02-766-9292,삼겹살,서울 명동
471,향촌식당,4.6,14,서울 중구 을지로19길 24-8,02-2285-1515,삼겹살,서울 명동
472,숭례회관,2.7,16,서울 중구 세종대로 13 2층,02-318-1219,삼겹살,서울 명동
473,싸립문을 밀고들어서니,3.7,18,서울 종로구 인사동길 15-11,02-735-5917,삼겹살,서울 명동
474,평양고깃집,4.5,32,서울 종로구 인사동5길 14 2층,070-4419-4999,삼겹살,서울 명동
475,봉탁항아리바베큐,4.8,274,서울 종로구 인사동길 13 2층,010-2568-5977,삼겹살,서울 명동
476,순천가,4.9,16,서울 종로구 수표로 109-2 1층,02-765-0398,삼겹살,서울 명동
477,해몽,4.7,15,서울 종로구 인사동길 15-5,02-735-4229,삼겹살,서울 명동
478,무교동낙지,2.9,18,서울 종로구 종로3길 30,02-720-3025,삼겹살,서울 명동
479,신도세기 종로구청점,1.5,12,서울 종로구 삼봉로 84 1층,02-733-0984,삼겹살,서울 명동
480,서가앤쿡 KTX서울역사점,2.2,54,서울 중구 한강대로 405,02-313-8670,삼겹살,서울 명동
481,종로집,2.9,15,서울 종로구 수표로 116,0507-1407-4307,삼겹살,서울 명동
482,참숯고깃골,4.0,15,서울 용산구 한강대로104길 78-1,02-779-8989,삼겹살,서울 명동
483,보건옥,3.7,35,서울 중구 창경궁로8길 12,02-2275-3743,삼겹살,서울 명동
484,남도식당,2.7,26,서울 종로구 종로3길 42,02-734-0719,삼겹살,서울 명동
485,광주집,2.2,47,서울 종로구 돈화문로11나길 3,02-764-3574,삼겹살,서울 명동
486,식껍 종로익선점,3.7,29,서울 종로구 돈화문로11길 38 경한빌딩 1층,02-766-8726,삼겹살,서울 명동
487,종삼육,4.1,23,서울 종로구 돈화문로11길 8-1,,삼겹살,서울 명동
488,노들집,2.7,18,서울 종로구 돈화문로11다길 14,02-745-9253,삼겹살,서울 명동
489,서대포집,3.5,24,서울 종로구 돈화문로11가길 9 1층,02-763-7752,삼겹살,서울 명동
490,고창집,2.9,14,서울 종로구 돈화문로11가길 7,,삼겹살,서울 명동
491,통돼지,3.6,17,서울 종로구 수표로28길 44,02-743-0683,삼겹살,서울 명동
492,최대감네,2.8,14,서울 종로구 인사동8길 12-3,02-733-9355,삼겹살,서울 명동
493,익선동목장,4.5,32,서울 종로구 돈화문로 53,02-742-4440,삼겹살,서울 명동
494,숙성의미껍데기 익선점,3.3,12,서울 종로구 돈화문로 53-1,02-554-9297,삼겹살,서울 명동
495,사랑방 참숯화로구이,4.4,23,서울 용산구 신흥로36길 4,02-774-5950,삼겹살,서울 명동
496,시집못간돼지 연탄구이,3.9,11,서울 용산구 한강대로 369-1,02-701-5512,삼겹살,서울 명동
497,서촌백년화로,4.7,12,서울 종로구 새문안로7길 20 1층,02-730-5709,삼겹살,서울 명동
498,수정갈비,4.1,14,서울 용산구 한강대로104길 24,02-754-5873,삼겹살,서울 명동
499,팔오삼,4.0,25,서울 종로구 인사동12길 16 1층,02-733-0853,삼겹살,서울 명동
500,신한양식당 중림동본점,4.7,12,서울 중구 서소문로6길 45 1층,02-364-6879,삼겹살,서울 명동
501,늘마중,3.7,12,서울 종로구 인사동10길 11-5 1층,02-730-2985,삼겹살,서울 명동
502,두툼,4.0,134,서울 중구 중림로 10 삼성사이버빌리지 3동 1층 105호,02-392-8592,삼겹살,서울 명동
503,광화문뚝감,4.0,117,서울 종로구 새문안로3길 21,02-722-5894,삼겹살,서울 명동
504,정감어린,2.9,18,서울 용산구 후암로 4,02-754-4389,삼겹살,서울 명동
505,송원,2.7,31,서울 중구 동호로24길 35-4,02-2275-3118,삼겹살,서울 명동
506,육회자매집 2호점,3.4,15,서울 종로구 종로 200-4 1층,02-2272-3069,삼겹살,서울 명동
507,형제육회 본점,3.2,38,서울 종로구 종로 200-1,02-2274-6509,삼겹살,서울 명동
508,풀그라운드 중림점,3.7,16,서울 중구 중림로 40 2층,02-365-9233,삼겹살,서울 명동
509,고기온,4.6,18,서울 중구 퇴계로 291 1층,02-2269-5993,삼겹살,서울 명동
510,남영돈,4.0,194,서울 용산구 한강대로80길 17 1층,02-793-3598,삼겹살,서울 명동
511,장수회관,3.8,12,서울 중구 정동길 12,02-755-6622,삼겹살,서울 명동
512,시미시미,2.9,13,서울 종로구 삼일대로30길 49 1층,,삼겹살,서울 명동
513,금돼지식당,3.8,263,서울 중구 다산로 149 1~3층,0507-1307-8750,삼겹살,서울 명동
514,쌍대포 본점,3.7,54,서울 용산구 청파로 291,02-707-1380,삼겹살,서울 명동
515,평원숯불갈비,3.9,34,서울 종로구 종로39길 29,02-745-2408,삼겹살,서울 명동
516,고궁의아침,3.7,55,서울 종로구 창경궁로 158,02-762-7620,삼겹살,서울 명동
517,광화문 고기집,4.2,22,서울 종로구 새문안로5가길 11,,삼겹살,서울 명동
518,두툼,4.0,134,서울 중구 중림로 10 삼성사이버빌리지 3동 1층 105호,02-392-8592,삼겹살,서울 명동
519,광화문뚝감,4.0,117,서울 종로구 새문안로3길 21,02-722-5894,삼겹살,서울 명동
520,정감어린,2.9,18,서울 용산구 후암로 4,02-754-4389,삼겹살,서울 명동
521,송원,2.7,31,서울 중구 동호로24길 35-4,02-2275-3118,삼겹살,서울 명동
522,육회자매집 2호점,3.4,15,서울 종로구 종로 200-4 1층,02-2272-3069,삼겹살,서울 명동
523,형제육회 본점,3.2,38,서울 종로구 종로 200-1,02-2274-6509,삼겹살,서울 명동
524,풀그라운드 중림점,3.7,16,서울 중구 중림로 40 2층,02-365-9233,삼겹살,서울 명동
525,고기온,4.6,18,서울 중구 퇴계로 291 1층,02-2269-5993,삼겹살,서울 명동
526,미쓰족발 명동점,2.6,16,서울 중구 명동3길 21 영빌딩 1층 1001호,,족발,서울 명동
527,장군보쌈족발,4.1,13,서울 중구 무교로 16,02-778-2496,족발,서울 명동
528,이남장 명동점,3.8,27,"서울 중구 명동9길 39 1, 2층",02-3789-4247,족발,서울 명동
529,동두천솥뚜껑삼겹살 강남역점,2.1,16,서울 강남구 테헤란로1길 20 2층,02-568-8896,삼겹살,서울 강남
530,강남수랏간,2.9,17,"서울 강남구 역삼로 410 1,2층",02-567-5123,삼겹살,서울 강남
531,행복추풍령칼삼겹살 압구정점,4.1,18,서울 강남구 도산대로51길 41,02-518-9996,삼겹살,서울 강남
532,순두부와삼겹살,3.8,12,서울 강남구 영동대로86길 10-7,02-542-9709,삼겹살,서울 강남
533,교대이층집 강남역점,3.3,38,서울 강남구 강남대로78길 14 2층,02-562-7113,삼겹살,서울 강남
534,신도세기 강남역점,3.7,47,서울 서초구 서초대로78길 22 홍우빌딩 3층,02-3471-7007,삼겹살,서울 강남
535,화기애애 강남점,3.2,27,서울 강남구 강남대로106길 12,02-508-6177,삼겹살,서울 강남
536,반갑다하대포 강남점,3.6,13,서울 강남구 역삼로3길 7,02-555-6823,삼겹살,서울 강남
537,무월식탁 강남본점,2.4,122,서울 강남구 강남대로102길 23 1층,02-552-9280,삼겹살,서울 강남
538,동달식당 강남본점,2.9,16,서울 서초구 서운로 133,02-3471-9700,삼겹살,서울 강남
539,봉우화로 강남본점,2.8,29,서울 강남구 봉은사로18길 76,02-558-8452,삼겹살,서울 강남
540,더막창스 강남본점,3.2,38,서울 서초구 서초대로77길 37 월드상가 106호,02-533-8592,삼겹살,서울 강남
541,고기꾼김춘배 강남점,3.8,41,서울 강남구 강남대로100길 13 3층,,삼겹살,서울 강남
542,통돼지네 강남점,4.2,26,서울 강남구 역삼로3길 17-5 1층,02-564-6649,삼겹살,서울 강남
543,인계동껍데기 강남점,2.7,32,"서울 서초구 서초대로73길 42 강남역리가스퀘어 101,102호",010-4006-9608,삼겹살,서울 강남
544,봉된장 강남점,3.7,15,서울 강남구 역삼동 826-38,02-555-5300,삼겹살,서울 강남
545,원조부안집 강남점,3.4,24,서울 강남구 강남대로96길 19 영우빌딩 2층,02-563-4792,삼겹살,서울 강남
546,푸에르코 강남점,2.5,15,서울 서초구 강남대로53길 8 스타크강남빌딩 2층,02-6246-0092,삼겹살,서울 강남
547,이층고깃집 강남구청역점,4.6,124,서울 강남구 선릉로129길 9-4 2층,02-6014-4615,삼겹살,서울 강남
548,이공족발 강남점,3.2,12,서울 강남구 강남대로106길 7 2층,02-558-2058,삼겹살,서울 강남
549,화로상회 강남논현점,3.6,18,서울 강남구 학동로2길 31 2층,02-540-8592,삼겹살,서울 강남
550,하남돼지집 강남역1호점,2.6,23,서울 서초구 서초대로73길 38,02-591-1253,삼겹살,서울 강남
551,대독장 강남점,3.4,15,서울 강남구 논현로85길 59 남곡빌딩 2층,02-552-7745,삼겹살,서울 강남
552,돌깨마을 맷돌순두부 강남점,3.2,21,서울 강남구 테헤란로4길 6 강남센트럴푸르지오시티 지하 2층,02-558-3356,삼겹살,서울 강남
553,돌리고제주도야지 강남자곡점,4.9,16,서울 강남구 자곡로 180 1층,02-449-0082,삼겹살,서울 강남
554,나주육곱식당 강남직영점,2.8,11,서울 강남구 선릉로92길 11 1층 101호,02-567-7210,삼겹살,서울 강남
555,하남돼지집 강남구청점,3.1,14,서울 강남구 선릉로 647 영광빌딩 1층,02-512-2292,삼겹살,서울 강남
556,육전식당 4호점,4.1,115,서울 강남구 테헤란로8길 11-4 1층,02-3452-6373,삼겹살,서울 강남
557,박가화로,4.6,26,서울 강남구 논현로 404,070-8118-8190,삼겹살,서울 강남
558,화떡,3.7,43,"서울 중구 명동4길 15 2,3층",02-772-9991,떡볶이,서울 명동
559,신세계떡볶이,3.8,115,서울 중구 명동9길 8-1 1층,02-778-1680,떡볶이,서울 명동
560,두끼떡볶이 명동점,3.3,16,서울 중구 명동10길 35-3 2층,02-318-1333,떡볶이,서울 명동
561,쉐프가만든떡볶이 파인에비뉴점,3.4,12,서울 중구 을지로 100 파인애비뉴 지하1층 9호,02-2277-7621,떡볶이,서울 명동
562,솜이네떡볶이,2.0,17,서울 중구 퇴계로42길 36 1층,02-2285-2478,떡볶이,서울 명동
563,또보겠지떡볶이집 몽글몽글청계점,4.2,27,서울 종로구 삼일대로19길 6,,떡볶이,서울 명동
564,맛보래즉석떡볶이,3.7,29,서울 종로구 인사동3길 9,02-720-4831,떡볶이,서울 명동
565,죠스떡볶이 종각점,2.2,32,서울 종로구 종로10길 5,02-720-1478,떡볶이,서울 명동
566,먹쉬돈나 종각점,3.0,14,서울 종로구 종로5길 7 타워8 지하1층,02-512-8089,떡볶이,서울 명동
567,꿈떡 꿈떡 종로 직영점,4.5,23,서울 종로구 종로 19 르메이에르빌딩 지하1층,02-722-7223,떡볶이,서울 명동
568,신전떡볶이 퇴계로점,2.1,15,서울 중구 퇴계로 247 2층,02-2273-8167,떡볶이,서울 명동
569,동대문엽기떡볶이 종각점,1.8,29,서울 종로구 삼봉로 100 2층,02-737-8592,떡볶이,서울 명동
570,빌라드스파이시 광화문D타워점,2.6,19,서울 종로구 종로3길 17 308호,02-2251-8388,떡볶이,서울 명동
571,허니즉석떡볶이 광화문본점,3.5,12,서울 종로구 새문안로 103-1 지하1층,02-723-5929,떡볶이,서울 명동
572,랑만궁떡,4.2,24,서울 종로구 삼일대로30길 42 1층,02-745-0008,떡볶이,서울 명동
573,철길떡볶이,2.8,105,서울 서대문구 충정로 35-6,02-364-3440,떡볶이,서울 명동
574,로뎀나무,3.9,33,서울 중구 정동길 2-2,02-755-5711,떡볶이,서울 명동
575,먹쉬돈나 삼청동점,2.7,65,서울 종로구 율곡로3길 74-7,02-723-8089,떡볶이,서울 명동
576,서울역철도떡볶이,4.0,24,서울 용산구 청파로93길 18-1,02-703-7222,떡볶이,서울 명동
577,강가네떡볶이,2.7,35,서울 종로구 종로32길 2 아케이트 101호,,떡볶이,서울 명동
578,진아네떡볶이,2.5,13,서울 중구 퇴계로56길 52 1층,02-2275-8078,떡볶이,서울 명동
579,와우신내떡,4.5,49,서울 용산구 청파로45길 12-1 1층,02-704-8485,떡볶이,서울 명동
580,마복림떡볶이,2.9,183,서울 중구 다산로35길 5 1층,02-2232-8930,떡볶이,서울 명동
581,원조짜장떡복이,3.0,42,서울 중구 동호로12길 96 1층,02-2231-6001,떡볶이,서울 명동
582,장충떡복이,3.5,11,서울 중구 퇴계로56길 55,02-2269-5678,떡볶이,서울 명동
583,아이러브신당동,2.3,83,서울 중구 퇴계로76길 50 성환빌딩 1층,02-2232-7872,떡볶이,서울 명동
584,두끼떡볶이 현대시티아울렛동대문점,1.7,21,서울 중구 장충단로13길 20 9층,02-2283-2906,떡볶이,서울 명동
585,우정,3.3,31,서울 중구 퇴계로76길 55 1층,02-2233-0669,떡볶이,서울 명동
586,동대문엽기떡볶이 서대문점,2.9,11,서울 서대문구 경기대로 90 1층,02-363-8592,떡볶이,서울 명동
587,청년다방 숙대입구점,2.5,13,서울 용산구 한강대로87길 6,02-714-5977,떡볶이,서울 명동
588,마복림할머니 막내아들네,2.8,36,서울 중구 다산로 221,02-2253-1466,떡볶이,서울 명동
589,달볶이 숙명여대점,3.7,27,서울 용산구 청파로47길 88,02-715-6137,떡볶이,서울 명동
590,베스트프렌드,4.2,11,서울 용산구 청파로47길 78 지하 1층,02-715-3379,떡볶이,서울 명동
591,신전떡볶이 숙대점,3.5,11,서울 용산구 청파로47길 25 1층,02-702-0107,떡볶이,서울 명동
592,신당동원조종점떡볶이,3.5,15,서울 중구 퇴계로76길 57,02-2234-3649,떡볶이,서울 명동
593,죠스떡볶이 경복궁점,2.8,14,서울 종로구 자하문로 15,02-720-4073,떡볶이,서울 명동
594,또와또 본점,4.4,16,서울 용산구 청파로47길 59 지하1층,02-716-6930,떡볶이,서울 명동
595,우리집떡볶이,2.8,12,서울 중구 다산로 217-1,02-2232-4531,떡볶이,서울 명동
