,Store,keyword_food,keyword_loc,kakao_score,kakao_comment,google_score,google_comment,phone_num,address
0,김천재의육회반한연어 신논현본점,육회,서울 강남,3.5,32,3.8,446,02-516-1123,서울 강남구 강남대로118길 47 2층
1,고봉삼계탕 명동본점,삼계탕,서울 명동,3.2,18,4.1,784,02-756-2300,"서울 중구 명동7길 21 1, 2층"
2,명동닭한마리 본점,삼계탕,서울 명동,4.0,53,4.2,304,02-2266-8249,서울 종로구 종로40가길 14
3,대우부대찌개,부대찌개,서울 강남,3.8,124,4.2,1429,02-552-1663,서울 강남구 테헤란로25길 34 1층
5,이태리부대찌개 선릉직영점,부대찌개,서울 강남,4.1,26,4.1,241,02-565-0310,서울 강남구 선릉로 424 2층
6,이태리부대찌개 삼성점,부대찌개,서울 강남,4.3,23,4.3,280,02-555-5652,서울 강남구 삼성로104길 16 은지빌딩 2층
7,이태리부대찌개 학동점,부대찌개,서울 강남,3.9,18,4.0,235,02-545-0310,서울 강남구 학동로33길 15 1층
8,이태리부대찌개 역삼GS점,부대찌개,서울 강남,3.8,12,4.1,283,02-554-5597,서울 강남구 논현로94길 22 2층
9,송탄부대찌개 본점,부대찌개,서울 강남,2.3,11,3.7,465,02-541-2446,서울 강남구 도산대로 166 1층
10,이태리부대찌개 신사점,부대찌개,서울 강남,3.9,15,3.9,96,02-518-7783,서울 강남구 논현로149길 73 1층
11,모박사부대찌개 코엑스점,부대찌개,서울 강남,1.8,33,3.3,44,02-551-2288,서울 강남구 영동대로 513 지하1층 M101호
